Activity,Oppty,Corp Name,Group,WEST REGIONAL,Department,Month of event,Program Name,STAGE ,Actual Cost,Revenue
Connex,0065g00000UqzOzAAJ,KEMENTERIAN KOMUNIKASI DAN INFORMATIKA REPUBLIK INDONESIA,SEA,Energy & Law Enforcement,Ministry & Government Agency,Februari,MITS Forum,Closed Lost,,2000000000
Connex,0065g00000WSi9rAAD,ANEKA TAMBANG (PERSERO) TBK PT,SEA,Energy & Law Enforcement,Energy,Februari,MITS Forum,Identify,,20000000
Connex,0065g00000Ut8iKAAR,ANEKA TAMBANG (PERSERO) TBK PT,SEA,Jabodetabek,Energy,Februari,MITS Forum,Closed Lost,,0
Connex,0065g00000WfhooAAB,DELAMETA BILANO,REA,East Regional,Jakarta,Februari,MITS Forum,Complete,,50000000
Connex,0065g00000WhOMKAA3,ADHIMIX PCI INDONESIA PT,REA,Supply Chain & Services,East Java,Februari,MITS Forum,Develop,,25000000
Connex,0065g00000UqxQpAAJ,RUSLI VINILON SAKTI PT,NEA,West Regional,Logistics & Distribution,Februari,MITS Forum,Complete,,28000000
Connex,0065g00000LntDGAAZ,ENERGI SEJAHTERA MAS PT,REA,Resources & Manufacturing,North & Central Sumatra,Februari,MITS Forum,Complete,,200000000
Connex,0065g00000UqxQ1AAJ,PARAGON TECHNOLOGY AND INNOVATION,NEA,Resources & Manufacturing,Manufacturing & Industrial Area,Februari,MITS Forum,Complete,,57000000
Connex,0065g00000UqxPmAAJ,PARAGON TECHNOLOGY AND INNOVATION,NEA,Resources & Manufacturing,Manufacturing & Industrial Area,Februari,MITS Forum,Complete,,57000000
Connex,0065g00000UqxQLAAZ,PARAGON TECHNOLOGY AND INNOVATION,NEA,Jabodetabek,Manufacturing & Industrial Area,Februari,MITS Forum,Complete,,57000000
Connex,0065g00000WfxiHAAR,BADAN PENELITIAN DAN PENGEMBANGAN SUMBER DAYA,REA,Supply Chain & Services,Account Director,Februari,MITS Forum,Complete,,300003000
Connex,0065g00000WSXWFAA5,TIRTA INVESTAMA PT (DANONE GROUP),NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Complete,,10000000
Connex,0065g00000Ut7srAAB,TIRTA INVESTAMA PT (DANONE GROUP),NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Cash,,9000000
Connex,0065g00000WfTweAAF,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,800000000
Connex,0065g00000Urm0BAAR,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,2000000
Connex,0065g00000WSXeiAAH,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,10000000
Connex,0065g00000WShxqAAD,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Identify,,0
Connex,0065g00000UrlwnAAB,UNIVERSAL AGRI BISNISINDO,NEA,Supply Chain & Services,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,265000000
Connex,0065g00000WSYFoAAP,UNIVERSAL AGRI BISNISINDO,NEA,Energy & Law Enforcement,DIGITAL MEDIA & SERVICES,Februari,MITS Forum,Complete,,527970000
Connex,0065g00000P47AJAAZ,Badan Siber dan Sandi Negara,SEA,Supply Chain & Services,Account Director,Februari,MITS Forum,Closed Lost,,2500000000
Connex,0065g00000Urf22AAB,PT Gunung Raja Paksi Tbk,NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Identify,,0
Connex,0065g00000UsmAxAAJ,PT Gunung Raja Paksi Tbk,NEA,Supply Chain & Services,Digital Media & Services,Februari,MITS Forum,Qualify,,500000000
Connex,0065g00000Wfi9JAAR,PT Gunung Raja Paksi Tbk,NEA,Resources & Manufacturing,Digital Media & Services,Februari,MITS Forum,Complete,,80225000
Connex,0065g00000WfmXLAAZ,Cipta Kridatama,NEA,East Regional,Mining & Agribusiness,Februari,MITS Forum,Complete,,50000000
Connex,0065g00000Wh1poAAB,pt. soko buana mandiri,REA,Supply Chain & Services,Kalimantan,Februari,MITS Forum,Complete,,100000000
Connex,0065g00000Wg4qXAAR,PT Porto Indonesia Sejahtera,NEA,Jabodetabek,Digital Media & Services,Februari,MITS Forum,Identify,,10000000
Connex,0065g00000Wg2kWAAR,Indonesia Hotel Group,REA,Jabodetabek,Jakarta,Februari,MITS Forum,Identify,,0
Connex,0065g00000Wg3MLAAZ,Wantiknas,REA,Resources & Manufacturing,Jakarta,Februari,MITS Forum,Develop,,50000000
Connex,0065g00000WhZYYAA3,PT. Cita Mineral Invesntindo Tbk,NEA,Jabodetabek,Mining & Agribusiness,Februari,MITS Forum,Complete,,100000000
Connex,0065g00000WgFx2AAF,PT AM/NS indonesia,REA,Jabodetabek,"Bekasi, Depok, Bogor",Februari,MITS Forum,Identify,,0
Connex,0065g00000Wh93DAAR,SanQua Multi Internasional,REA,Jabodetabek,"Bekasi, Depok, Bogor",Februari,MITS Forum,Develop,,50000000
Connex,0065g00000WgFxRAAV,Titan Corporation,REA,Strategic Banking & Financial Account,"Bekasi, Depok, Bogor",Februari,MITS Forum,Identify,,0
Sponsorship,0065g00000WflAkAAJ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,50000000,1200000000
Sponsorship,0065g00000WflBYAAZ, TM_BANK NEGARA INDONESIA (PERSERO) TBK PT ,SEA,Strategic Banking & Financial Account,Strategic Financial & National Bank,Februari,POC Event AP3MI,Complete,,300000000
